activity_id,molecule_chembl_id,canonical_smiles,molecule_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,document_chembl_id,document_journal,document_year,target_chembl_id,target_pref_name
105501,CHEMBL93558,N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,,IC50,=,217000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
106644,CHEMBL443622,C[C@H](N)C(=O)N1CCCC1,,IC50,=,41000.0,nM,4.39,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
106647,CHEMBL403882,O=C([C@@H]1CCCN1)N1CCCC1,,IC50,=,15000.0,nM,4.82,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
106650,CHEMBL328655,S=C(C1CCCN1)N1CCCC1,,IC50,>,500000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
108924,CHEMBL328795,NC(=O)CC(N)C(=O)N1CCCC1,,IC50,=,188000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
111620,CHEMBL97674,NCCCCC(N)C(=O)N1CCCCC1,,IC50,=,247000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
111673,CHEMBL317126,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,,IC50,=,14000.0,nM,4.85,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
113099,CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,,IC50,=,4000.0,nM,5.40,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
114354,CHEMBL93505,NCC[C@H](N)C(=O)N1CCCCC1,,IC50,>,1000000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
115473,CHEMBL329171,NCCCC(N)C(=O)N1CCCCC1,,IC50,>,500000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
116880,CHEMBL94955,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,,IC50,=,134900.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
119349,CHEMBL97180,NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,,IC50,=,213000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
121780,CHEMBL98008,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,,IC50,=,17000.0,nM,4.77,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
121783,CHEMBL319514,C[C@H](N)C(=O)N1CCC[C@H]1C#N,,Ki,=,200.0,nM,6.70,CHEMBL666574,Inhibition of Dipeptidyl Peptidase IV,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
121785,CHEMBL97483,C[C@H](N)C(=S)N1CCCC1,,Ki,=,47600.0,nM,4.32,CHEMBL666574,Inhibition of Dipeptidyl Peptidase IV,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
127132,CHEMBL97025,NCC(=O)N1CCCC1,,IC50,>,1000000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
127135,CHEMBL317944,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,,IC50,=,23210.0,nM,4.63,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
128208,CHEMBL93507,CCC(C)C(N)C(=O)N1CCCCC1,,IC50,=,67000.0,nM,4.17,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
128211,CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,TALABOSTAT,Ki,=,2.0,nM,8.70,CHEMBL666574,Inhibition of Dipeptidyl Peptidase IV,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
129486,CHEMBL93931,NC(Cc1ccccc1)C(=O)N1CCCC1,,IC50,=,21000.0,nM,4.68,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
129489,CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,,Ki,=,218.0,nM,6.66,CHEMBL666574,Inhibition of Dipeptidyl Peptidase IV,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
134515,CHEMBL97064,NC(CO)C(=O)N1CCCC1,,IC50,=,190000.0,nM,,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
134518,CHEMBL318401,C[C@H](N)C(=S)N1CCSC1,,Ki,=,7880.0,nM,5.10,CHEMBL666574,Inhibition of Dipeptidyl Peptidase IV,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
140459,CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,,IC50,=,4000.0,nM,5.40,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL1135386,Bioorg Med Chem Lett,2002,CHEMBL284,Dipeptidyl peptidase 4
