molecule_id,smiles,ic50_nm,pchembl,assay_description,journal,year
CHEMBL443622,C[C@H](N)C(=O)N1CCCC1,41000.0,4.39,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL403882,O=C([C@@H]1CCCN1)N1CCCC1,15000.0,4.82,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL317126,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,14000.0,4.85,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,4000.0,5.4,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL98008,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,17000.0,4.77,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL317944,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,23210.0,4.63,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL93507,CCC(C)C(N)C(=O)N1CCCCC1,67000.0,4.17,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL93931,NC(Cc1ccccc1)C(=O)N1CCCC1,21000.0,4.68,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,4000.0,5.4,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL328694,NCCCCC(N)C(=O)N1CCCC1,39000.0,4.41,In vitro inhibition of human Dipeptidylpeptidase IV.,Bioorg Med Chem Lett,2002
CHEMBL1790478,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,190.0,6.72,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL66032,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,11.0,7.96,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL63726,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,95.0,7.02,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL303131,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,17000.0,4.77,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL292342,O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O,250.0,6.6,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL63698,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,44.0,7.36,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL291428,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,63.0,7.2,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL66189,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,30000.0,4.52,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL1790483,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,25.0,7.6,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL67279,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,26.0,7.58,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL63860,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,15.0,7.82,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL67089,NCC(=O)N1CCC[C@H]1B(O)O,16000.0,4.8,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL65406,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O,4000.0,5.4,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL304007,N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O,32.0,7.5,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL63652,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,70.0,7.16,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL63406,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,60.0,7.22,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL63895,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,20.0,7.7,In vitro for inhibition of Dipeptidylpeptidase IV.,J Med Chem,1996
CHEMBL1182947,O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,32000.0,4.5,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL265344,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,400.0,6.4,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9237,COP(=O)(Oc1ccccc1-c1ccccc1O)C1CCCN1C(=O)[C@@H]1CCCN1.Cl,47000.0,4.33,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9724,Cl.O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1,31000.0,4.51,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9561,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,22000.0,4.66,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9238,COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,36.0,7.44,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9512,Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,500.0,6.3,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL269209,C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,600.0,6.22,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL273851,Cl.O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,5000.0,5.3,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9295,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,30.0,7.52,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL269757,Cl.O=C(CNC(=O)c1ccccc1)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CNC(=O)c3ccccc3)cc2)C2CCCN2C(=O)C2CCCN2)cc1,700.0,6.16,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9263,CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)C2CCCN2C(=O)C2CCCN2)c1.Cl,800.0,6.1,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9433,CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,400.0,6.4,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL268527,COC(=O)C(Cc1ccc(OP(=O)(Oc2ccc(CC(NC(C)=O)C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1)NC(C)=O.Cl,1400.0,5.85,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9408,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,16.0,7.8,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL430281,Cl.NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1,2300.0,5.64,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL274829,CCOC(=O)CNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCC(=O)OCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,23.0,7.64,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
CHEMBL9527,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,5000.0,5.3,In vitro inhibition of human Dipeptidylpeptidase IV.,J Med Chem,1999
