protease_family,protease_name_example,total_cleavages,organisms_count,is_exopeptidase
S01,chymotrypsin A (cattle-type),39570,155,False
C01,papain,12388,31,True
M10,matrix metallopeptidase-1,8377,22,False
A01,pepsin A,5454,43,False
M12,astacin,4588,19,False
M04,thermolysin,4252,38,False
C14,caspase-1,3321,32,False
C13,legumain (plant beta form),2330,25,False
S08,subtilisin Carlsberg,2297,118,False
M35,penicillolysin,2168,6,False
M24,methionyl aminopeptidase 1 ({Escherichia}-type),1550,146,True
A02,HIV-1 retropepsin,1382,31,False
C02,calpain-1,917,14,False
S26,signal peptidase I,828,232,False
A32,RC1339 g.p. ({Rickettsia conorii}),800,2,False
S41,C-terminal processing peptidase-1,740,10,False
M09,collagenase V ({Vibrio} spp.),699,3,False
M01,aminopeptidase N,503,11,True
S09,prolyl oligopeptidase,410,14,True
M03,thimet oligopeptidase,396,13,False
M13,neprilysin,380,11,False
M16,pitrilysin,371,25,False
M14,carboxypeptidase A1,322,11,True
T01,"archaean proteasome, beta component",311,9,False
S10,carboxypeptidase Y,309,7,True
M9,tripeptide aminopeptidase,267,10,False
N10,intein-containing replicative DNA helicase precursor,259,93,False
S53,sedolisin,241,5,False
M28,aminopeptidase Y,227,7,True
S9,peptidyl-glycinamidase,175,11,False
C19,ubiquitin-specific peptidase 5,146,3,False
U9,Glu-Glu dipeptidase,134,20,False
C30,coronavirus picornain 3C-like peptidase-1,127,12,False
C03,poliovirus-type picornain 3C,122,26,False
C48,Ulp1 peptidase,110,6,False
U74,neprosin,110,2,False
G01,scytalidoglutamic peptidase,108,8,False
M20,glutamate carboxypeptidase,100,1,False
C25,gingipain RgpA,89,6,False
A26,omptin,84,12,False
S54,rhomboid-like protein 2,76,9,False
S33,prolyl aminopeptidase,74,3,False
M42,glutamyl aminopeptidase (bacterium),71,2,False
M41,FtsH peptidase,62,7,False
C04,nuclear-inclusion-a peptidase (plum pox virus),62,9,False
M32,carboxypeptidase Taq,61,2,True
M02,angiotensin-converting enzyme peptidase unit 1,60,4,False
M17,leucyl aminopeptidase 3,57,2,True
S50,infectious pancreatic necrosis birnavirus Vp4 peptidase,53,6,False
C10,streptopain,53,6,False
M23,beta-lytic metallopeptidase,49,6,False
P01,DmpA aminopeptidase,49,3,False
S12,D-Ala-D-Ala carboxypeptidase B,47,1,False
M49,dipeptidyl-peptidase III,45,3,False
N09,intein-containing V-type proton ATPase catalytic subunit A,45,17,False
C12,ubiquitinyl hydrolase-L1,45,2,False
A24,type 4 prepilin peptidase 1,42,11,False
S28,lysosomal Pro-Xaa carboxypeptidase,42,2,True
S46,dipeptidyl-peptidase 7 ({Porphyromonas gingivalis}-type),40,2,False
N08,poliovirus capsid VP0-type self-cleaving protein,40,39,False
A22,presenilin 1,40,8,False
C60,sortase A ({Staphylococcus}-type),39,12,False
M61,glycyl aminopeptidase,36,2,False
C54,ATG4 peptidase,36,6,False
C9,lysosomal dipeptidase II,34,3,False
S06,IgA1-specific serine peptidase ({Neisseria}-type),34,7,False
M34,anthrax lethal factor,33,8,False
C47,staphopain A,33,3,False
S16,Lon-A peptidase,32,5,False
A25,gpr peptidase,32,9,False
C39,bacteriocin-processing peptidase,32,15,False
S07,flavivirin,31,8,False
T02,glycosylasparaginase precursor,31,2,False
A9,pycnoporopepsin,31,4,False
S21,assemblin,30,8,False
G05,RCE1 peptidase ({Saccharomyces cerevisiae}-type),28,3,False
S80,prohead peptidase gp175 (Pseudomonas aeruginosa phage phiKZ),28,2,False
M06,immune inhibitor A peptidase ({Bacillus} sp.),27,6,False
S14,peptidase Clp (type 1),27,2,False
C05,adenain,26,5,False
S32,equine arteritis virus serine peptidase,25,4,False
M87,chloride channel accessory protein 1,24,6,False
M103,TldD peptidase ({Escherichia coli}),24,2,False
C16,murine hepatitis coronavirus papain-like peptidase 1,23,9,False
M72,peptidyl-Asp metallopeptidase,23,6,False
M27,tentoxilysin,23,6,False
M15,zinc D-Ala-D-Ala carboxypeptidase ({Streptomyces}-type),22,2,False
C11,clostripain,22,6,False
M08,leishmanolysin,20,6,False
M48,Ste24 peptidase,20,6,False
S11,D-Ala-D-Ala carboxypeptidase A,19,1,False
C85,OTUD5 peptidase ({Homo sapiens}),19,3,False
C64,Cezanne peptidase,19,2,False
A05,thermopsin,18,3,False
C24,feline calicivirus 3C-like peptidase,18,5,False
C65,otubain-1,16,2,False
C40,dipeptidyl-peptidase VI (bacteria),16,3,False
M43,cytophagalysin,16,4,False
C50,separase (yeast-type),16,4,False
M38,isoaspartyl dipeptidase (metallo-type),15,1,False
M30,hyicolysin,15,3,False
M36,fungalysin,15,3,False
M67,PSMD14 peptidase,15,6,False
A28,skin SASPase,15,3,False
S77,prohead peptidase gp21 (bacteriophage T4),15,1,False
S49,signal peptide peptidase A ({Pseudomonas aeruginosa}),15,4,False
M18,aminopeptidase I,14,2,True
M29,aminopeptidase T,14,2,False
C69,dipeptidase A,13,2,False
C15,pyroglutamyl-peptidase I (prokaryote),13,2,False
M05,mycolysin,12,2,False
M50,site 2 peptidase,12,7,False
C37,calicivirin,12,7,False
S13,D-Ala-D-Ala peptidase C,12,2,False
A11,Copia transposon peptidase,12,4,False
A09,spumapepsin,11,5,False
