feature,importance
cell_hMSC,0.5832007093813333
cell_hUVEC,0.07320840983048568
n_protection_level,0.06684412519748685
n_mod_ordinal,0.05317758230735201
has_n_protection,0.040951137552504194
has_c_protection,0.03767130715974954
c_protection_level,0.035762181977887435
c_mod_ordinal,0.030470303906391258
merops_cterm_P1p_M32,0.021512312390362096
cell_Macrophage,0.00977007464314335
cell_THP-1,0.006538153477196617
merops_cterm_P1p_S10,0.0056193304212479025
merops_cterm_P1p_M28,0.005134620887721448
merops_cterm_P1p_C01,0.004079049376587108
frac_charged_neg,0.0034808880090629
has_c_proline,0.003371941404869535
merops_cterm_P1p_S09,0.003235137349169207
merops_cterm_P1p_M24,0.002794655692401475
charge,0.0026891522046271544
gravy,0.0024422611204636016
merops_cterm_P1p_M14,0.002330775030632339
instability,0.002224190564139029
mw,0.0014652861234359536
c_term_hydro,0.0011980584716338501
merops_cterm_P1p_M01,0.0003291445992867461
abs_charge,0.0002888076371110033
frac_helix,5.8010877364110144e-05
merops_cterm_P1p_M18,3.734843560388087e-05
merops_cterm_P1p_S28,3.61005875672029e-05
frac_polar,3.221418388223355e-05
aromaticity,2.1296689653776718e-05
frac_charged_pos,1.8898766043324295e-05
frac_hydrophobic,2.3825163966705064e-06
frac_branched,2.0834726833518445e-06
merops_cterm_P1p_M17,1.5182337596491113e-06
frac_small,5.495207642616864e-07
length,0.0
has_n_proline,0.0
merops_nterm_P1_C01,0.0
n_term_hydro,0.0
merops_pos2_P2_S28,0.0
merops_pos2_P2_S10,0.0
merops_pos2_P2_S09,0.0
merops_pos2_P2_M32,0.0
merops_pos2_P2_M28,0.0
merops_pos2_P2_M24,0.0
merops_pos2_P2_M18,0.0
merops_pos2_P2_M17,0.0
merops_pos2_P2_M14,0.0
merops_pos2_P2_M01,0.0
merops_pos2_P2_C01,0.0
merops_nterm_P1_S28,0.0
merops_nterm_P1_S10,0.0
merops_nterm_P1_S09,0.0
merops_nterm_P1_M32,0.0
merops_nterm_P1_M28,0.0
merops_nterm_P1_M24,0.0
merops_nterm_P1_M18,0.0
merops_nterm_P1_M17,0.0
merops_nterm_P1_M14,0.0
merops_nterm_P1_M01,0.0
merops_posN1_P2p_S10,0.0
merops_posN1_P2p_S28,0.0
merops_posN1_P2p_S09,0.0
merops_posN1_P2p_M01,0.0
merops_posN1_P2p_M14,0.0
merops_posN1_P2p_C01,0.0
merops_posN1_P2p_M17,0.0
merops_posN1_P2p_M18,0.0
merops_posN1_P2p_M24,0.0
merops_posN1_P2p_M28,0.0
merops_posN1_P2p_M32,0.0
